2019-01-07 16:18:18,886, p1, s0, 4f97a1a2-7d51-44f2-a941-daa537b896e3, S1 initiated
2019-01-07 16:18:18,897, p1, s1, 4f97a1a2-7d51-44f2-a941-daa537b896e3, S1 completed
2019-01-07 16:18:18,898, p1, s0, d076c25b-98b5-4879-8149-563c7c79283b, S1 initiated
2019-01-07 16:18:18,908, p1, s1, d076c25b-98b5-4879-8149-563c7c79283b, S1 completed
2019-01-07 16:18:18,908, p1, s0, 8909ccb8-4056-4d80-8486-35bc185bb587, S1 initiated
2019-01-07 16:18:18,919, p1, s1, 8909ccb8-4056-4d80-8486-35bc185bb587, S1 completed
2019-01-07 16:18:18,919, p1, s0, c067096a-dfaa-4b50-81b2-e02eb94272d9, S1 initiated
2019-01-07 16:18:18,929, p1, s1, c067096a-dfaa-4b50-81b2-e02eb94272d9, S1 completed
2019-01-07 16:18:18,929, p1, s0, 0fbab10d-2e7f-410a-aef2-a204bebe6c48, S1 initiated
2019-01-07 16:18:18,940, p1, s1, 0fbab10d-2e7f-410a-aef2-a204bebe6c48, S1 completed
2019-01-07 16:18:18,940, p1, s0, b4067659-7442-437f-8a48-495ba3d7e9a0, S1 initiated
2019-01-07 16:18:18,951, p1, s1, b4067659-7442-437f-8a48-495ba3d7e9a0, S1 completed
2019-01-07 16:18:18,951, p1, s0, e6e680fe-1b7e-4206-9f41-2ac2d6cf0cfc, S1 initiated
2019-01-07 16:18:18,961, p1, s1, e6e680fe-1b7e-4206-9f41-2ac2d6cf0cfc, S1 completed
2019-01-07 16:18:18,962, p1, s0, d0f00bad-044c-4ef8-8848-10943ab4341c, S1 initiated
2019-01-07 16:18:18,972, p1, s1, d0f00bad-044c-4ef8-8848-10943ab4341c, S1 completed
2019-01-07 16:18:18,972, p1, s0, c7f0fd4f-1112-40bb-a8c3-51a4a3583e39, S1 initiated
2019-01-07 16:18:18,983, p1, s1, c7f0fd4f-1112-40bb-a8c3-51a4a3583e39, S1 completed
2019-01-07 16:18:18,983, p1, s0, 24b37c7a-162a-4210-9d27-e26f0ab92f2f, S1 initiated
2019-01-07 16:18:18,993, p1, s1, 24b37c7a-162a-4210-9d27-e26f0ab92f2f, S1 completed
2019-01-07 16:18:18,994, p1, s0, 17379aba-e1c6-4f3c-92f0-09a53793d227, S1 initiated
2019-01-07 16:18:19,004, p1, s1, 17379aba-e1c6-4f3c-92f0-09a53793d227, S1 completed
2019-01-07 16:18:19,004, p1, s0, c5d5b176-b8fe-4f2d-8b2a-f053f0ac1b5a, S1 initiated
2019-01-07 16:18:19,015, p1, s1, c5d5b176-b8fe-4f2d-8b2a-f053f0ac1b5a, S1 completed
2019-01-07 16:18:19,015, p1, s0, e591433e-7278-4e44-8d0b-7e1a5bb4ee5d, S1 initiated
2019-01-07 16:18:19,025, p1, s1, e591433e-7278-4e44-8d0b-7e1a5bb4ee5d, S1 completed
2019-01-07 16:18:19,026, p1, s0, 6fafd209-20ba-4d2a-ac73-37cbe3deecf2, S1 initiated
2019-01-07 16:18:19,036, p1, s1, 6fafd209-20ba-4d2a-ac73-37cbe3deecf2, S1 completed
2019-01-07 16:18:19,036, p1, s0, a8064724-2f1d-4a50-9393-5a60c44e8115, S1 initiated
2019-01-07 16:18:19,047, p1, s1, a8064724-2f1d-4a50-9393-5a60c44e8115, S1 completed
2019-01-07 16:18:19,047, p1, s0, 8a7f7e79-617e-49a6-83a1-7ed39fd728ff, S1 initiated
2019-01-07 16:18:19,057, p1, s1, 8a7f7e79-617e-49a6-83a1-7ed39fd728ff, S1 completed
2019-01-07 16:18:19,058, p1, s0, 0a4eb030-673e-4360-adf6-cfc94e6df215, S1 initiated
2019-01-07 16:18:19,068, p1, s1, 0a4eb030-673e-4360-adf6-cfc94e6df215, S1 completed
2019-01-07 16:18:19,068, p1, s0, 266da5a1-2143-4fde-afac-06a8cbcf6d5e, S1 initiated
2019-01-07 16:18:19,079, p1, s1, 266da5a1-2143-4fde-afac-06a8cbcf6d5e, S1 completed
2019-01-07 16:18:19,079, p1, s0, 16518504-66dc-42bf-87ac-0c681aad00cd, S1 initiated
2019-01-07 16:18:19,089, p1, s1, 16518504-66dc-42bf-87ac-0c681aad00cd, S1 completed
2019-01-07 16:18:19,090, p1, s0, 090bb05c-9909-42f1-962e-192e28d3c74a, S1 initiated
2019-01-07 16:18:19,100, p1, s1, 090bb05c-9909-42f1-962e-192e28d3c74a, S1 completed
2019-01-07 16:18:19,100, p1, s0, 8beb1649-c363-45cf-86b6-96c2349501cb, S1 initiated
2019-01-07 16:18:19,111, p1, s1, 8beb1649-c363-45cf-86b6-96c2349501cb, S1 completed
2019-01-07 16:18:19,111, p1, s0, 74ea11eb-1913-4627-9f0f-6414be1e0333, S1 initiated
