2019-01-07 22:05:03,107, p2, s0, 266dba40-6ffa-4f7b-b027-a80b88c603ed, S1 initiated
2019-01-07 22:05:03,112, p2, s1, 266dba40-6ffa-4f7b-b027-a80b88c603ed, S1 completed
2019-01-07 22:05:03,112, p2, s0, 177d2e10-0854-40c9-9954-6fbf531e60ca, S1 initiated
2019-01-07 22:05:03,112, p2, s1, 177d2e10-0854-40c9-9954-6fbf531e60ca, S1 completed
2019-01-07 22:05:03,112, p2, s0, 49ace0d2-f620-4251-ac80-5e7be675bbf3, S1 initiated
2019-01-07 22:05:03,112, p2, s1, 49ace0d2-f620-4251-ac80-5e7be675bbf3, S1 completed
2019-01-07 22:05:03,112, p2, s0, ecb6bbe9-2bdc-4597-b8f2-030f343352f3, S1 initiated
2019-01-07 22:05:03,112, p2, s1, ecb6bbe9-2bdc-4597-b8f2-030f343352f3, S1 completed
2019-01-07 22:05:03,112, p2, s0, 5e7c26a4-ea7d-4f22-83a3-45c27042c748, S1 initiated
2019-01-07 22:05:03,112, p2, s1, 5e7c26a4-ea7d-4f22-83a3-45c27042c748, S1 completed
2019-01-07 22:05:03,112, p2, s0, 584ed5ee-d10d-42f4-9068-6131c424f9c1, S1 initiated
2019-01-07 22:05:03,113, p2, s1, 584ed5ee-d10d-42f4-9068-6131c424f9c1, S1 completed
2019-01-07 22:05:03,113, p2, s0, 95e99cdb-ee39-4f08-8785-c8abc7a78399, S1 initiated
2019-01-07 22:05:03,113, p2, s1, 95e99cdb-ee39-4f08-8785-c8abc7a78399, S1 completed
2019-01-07 22:05:03,113, p2, s0, 8768d2f7-9519-4a87-b097-c28513a882b8, S1 initiated
2019-01-07 22:05:03,113, p2, s1, 8768d2f7-9519-4a87-b097-c28513a882b8, S1 completed
2019-01-07 22:05:03,113, p2, s0, dda965ab-a8de-43e0-9842-1bcc70ab6860, S1 initiated
2019-01-07 22:05:03,113, p2, s1, dda965ab-a8de-43e0-9842-1bcc70ab6860, S1 completed
2019-01-07 22:05:03,113, p2, s0, afd00f67-eb77-4a56-8dd2-9da97a19e5f3, S1 initiated
2019-01-07 22:05:03,113, p2, s1, afd00f67-eb77-4a56-8dd2-9da97a19e5f3, S1 completed
2019-01-07 22:05:03,113, p2, s0, badb0c7b-3bbc-4e1c-ba8b-be84f9ca60d8, S1 initiated
2019-01-07 22:05:03,113, p2, s1, badb0c7b-3bbc-4e1c-ba8b-be84f9ca60d8, S1 completed
2019-01-07 22:05:03,113, p2, s0, d39b5fd9-9f76-467f-a0bf-272deb72bd4a, S1 initiated
2019-01-07 22:05:03,114, p2, s1, d39b5fd9-9f76-467f-a0bf-272deb72bd4a, S1 completed
2019-01-07 22:05:03,114, p2, s0, 61cf7b5a-5777-4e6b-9874-25ae79a5873d, S1 initiated
2019-01-07 22:05:03,114, p2, s1, 61cf7b5a-5777-4e6b-9874-25ae79a5873d, S1 completed
2019-01-07 22:05:03,114, p2, s0, 00b990fa-7a49-4260-99be-7fbe1eba35b1, S1 initiated
2019-01-07 22:05:03,114, p2, s1, 00b990fa-7a49-4260-99be-7fbe1eba35b1, S1 completed
2019-01-07 22:05:03,114, p2, s0, 50ad6851-1400-46b1-b47f-1f4da069958c, S1 initiated
2019-01-07 22:05:03,114, p2, s1, 50ad6851-1400-46b1-b47f-1f4da069958c, S1 completed
2019-01-07 22:05:03,114, p2, s0, b9e654fe-8bb2-4a56-a616-4a2bcb17f80f, S1 initiated
2019-01-07 22:05:03,114, p2, s1, b9e654fe-8bb2-4a56-a616-4a2bcb17f80f, S1 completed
2019-01-07 22:05:03,114, p2, s0, 90fe3078-bd2e-4904-88a9-aea92beda008, S1 initiated
2019-01-07 22:05:03,114, p2, s1, 90fe3078-bd2e-4904-88a9-aea92beda008, S1 completed
2019-01-07 22:05:03,114, p2, s0, d7a0ed5a-6e1f-4f07-8b84-6b28dbf50a5b, S1 initiated
2019-01-07 22:05:03,114, p2, s1, d7a0ed5a-6e1f-4f07-8b84-6b28dbf50a5b, S1 completed
2019-01-07 22:05:03,114, p2, s0, 58db0a69-3fb9-45f6-8db9-e7a01db72696, S1 initiated
2019-01-07 22:05:03,115, p2, s1, 58db0a69-3fb9-45f6-8db9-e7a01db72696, S1 completed
2019-01-07 22:05:03,115, p2, s0, d6fe549f-0ac6-4d31-a6eb-4f4346ec76a1, S1 initiated
2019-01-07 22:05:03,115, p2, s1, d6fe549f-0ac6-4d31-a6eb-4f4346ec76a1, S1 completed
2019-01-07 22:05:03,115, p2, s0, 6da4399e-60b3-47dd-aba8-0b45fa6af7f3, S1 initiated
2019-01-07 22:05:03,115, p2, s1, 6da4399e-60b3-47dd-aba8-0b45fa6af7f3, S1 completed
2019-01-07 22:05:03,115, p2, s0, 9049ff4a-a7ba-47cd-a200-a5a668973466, S1 initiated
2019-01-07 22:05:03,115, p2, s1, 9049ff4a-a7ba-47cd-a200-a5a668973466, S1 completed
2019-01-07 22:05:03,115, p2, s0, 59395b85-649c-4be2-b48d-5c7cb891d74b, S1 initiated
2019-01-07 22:05:03,115, p2, s1, 59395b85-649c-4be2-b48d-5c7cb891d74b, S1 completed
2019-01-07 22:05:03,115, p2, s0, cb30a93f-aa2e-41a4-b272-0994f5cf99da, S1 initiated
2019-01-07 22:05:03,115, p2, s1, cb30a93f-aa2e-41a4-b272-0994f5cf99da, S1 completed
2019-01-07 22:05:03,115, p2, s0, 53082b57-b5da-4a92-be92-7a7180300071, S1 initiated
2019-01-07 22:05:03,115, p2, s1, 53082b57-b5da-4a92-be92-7a7180300071, S1 completed
2019-01-07 22:05:03,115, p2, s0, 22e806a8-2933-4f1f-a4fc-302694031d62, S1 initiated
2019-01-07 22:05:03,115, p2, s1, 22e806a8-2933-4f1f-a4fc-302694031d62, S1 completed
2019-01-07 22:05:03,115, p2, s0, ee676ee5-bde3-4bc7-84df-c693f47a8c51, S1 initiated
2019-01-07 22:05:03,115, p2, s1, ee676ee5-bde3-4bc7-84df-c693f47a8c51, S1 completed
2019-01-07 22:05:03,115, p2, s0, 3eb7fb86-a53a-4ee4-8a0a-3102c535e022, S1 initiated
2019-01-07 22:05:03,115, p2, s1, 3eb7fb86-a53a-4ee4-8a0a-3102c535e022, S1 completed
2019-01-07 22:05:03,116, p2, s0, 0bd26172-6c46-4935-9258-b2120496be8d, S1 initiated
2019-01-07 22:05:03,116, p2, s1, 0bd26172-6c46-4935-9258-b2120496be8d, S1 completed
2019-01-07 22:05:03,116, p2, s0, 0a2da6c4-430c-40d3-936f-d74f303fbc94, S1 initiated
2019-01-07 22:05:03,116, p2, s1, 0a2da6c4-430c-40d3-936f-d74f303fbc94, S1 completed
2019-01-07 22:05:03,116, p2, s0, 36f2edb8-901a-4b82-9567-0648f1c053f5, S1 initiated
2019-01-07 22:05:03,116, p2, s1, 36f2edb8-901a-4b82-9567-0648f1c053f5, S1 completed
2019-01-07 22:05:03,116, p2, s0, f02a35a4-ba36-4c13-adcb-bcb6adbb96cf, S1 initiated
2019-01-07 22:05:03,116, p2, s1, f02a35a4-ba36-4c13-adcb-bcb6adbb96cf, S1 completed
2019-01-07 22:05:03,116, p2, s0, 20db9aee-0a60-4889-a50e-d77582be0a15, S1 initiated
2019-01-07 22:05:03,116, p2, s1, 20db9aee-0a60-4889-a50e-d77582be0a15, S1 completed
2019-01-07 22:05:03,116, p2, s0, e1b36d05-d2d0-4bf5-839c-071aaa7e3bc6, S1 initiated
2019-01-07 22:05:03,116, p2, s1, e1b36d05-d2d0-4bf5-839c-071aaa7e3bc6, S1 completed
2019-01-07 22:05:03,116, p2, s0, f47e41b7-af86-4635-856a-e962a00af974, S1 initiated
2019-01-07 22:05:03,116, p2, s1, f47e41b7-af86-4635-856a-e962a00af974, S1 completed
2019-01-07 22:05:03,116, p2, s0, 4c734a4d-32d2-4a75-aad8-8fe3922e4596, S1 initiated
2019-01-07 22:05:03,116, p2, s1, 4c734a4d-32d2-4a75-aad8-8fe3922e4596, S1 completed
2019-01-07 22:05:03,116, p2, s0, ab2b47a7-75fe-4f05-9529-edee659aed81, S1 initiated
2019-01-07 22:05:03,116, p2, s1, ab2b47a7-75fe-4f05-9529-edee659aed81, S1 completed
2019-01-07 22:05:03,116, p2, s0, 52f2bcdf-997d-40d2-97a2-b7da979b169b, S1 initiated
2019-01-07 22:05:03,116, p2, s1, 52f2bcdf-997d-40d2-97a2-b7da979b169b, S1 completed
