2019-01-07 23:13:08,888, p3, s0, c029124d-62e0-4a37-ad15-07524e00964e, S1 initiated
2019-01-07 23:13:08,891, p3, s1, c029124d-62e0-4a37-ad15-07524e00964e, S1 completed
2019-01-07 23:13:08,891, p3, s0, 43ff7d1c-68b2-4c52-b621-fb4146e5ff15, S1 initiated
2019-01-07 23:13:08,891, p3, s1, 43ff7d1c-68b2-4c52-b621-fb4146e5ff15, S1 completed
2019-01-07 23:13:08,891, p3, s0, 1e2e07de-0b5e-4478-9066-1008aafc8b90, S1 initiated
2019-01-07 23:13:08,891, p3, s1, 1e2e07de-0b5e-4478-9066-1008aafc8b90, S1 completed
2019-01-07 23:13:08,891, p3, s0, f862ac2d-3777-411d-85a2-2e88dde1648f, S1 initiated
2019-01-07 23:13:08,892, p3, s1, f862ac2d-3777-411d-85a2-2e88dde1648f, S1 completed
2019-01-07 23:13:08,892, p3, s0, 61ad7d2b-ea13-497f-a869-ad41967d988c, S1 initiated
2019-01-07 23:13:08,892, p3, s1, 61ad7d2b-ea13-497f-a869-ad41967d988c, S1 completed
2019-01-07 23:13:08,892, p3, s0, 9e30ed81-3af6-4d12-ab2e-a9afd30cc03d, S1 initiated
2019-01-07 23:13:08,892, p3, s1, 9e30ed81-3af6-4d12-ab2e-a9afd30cc03d, S1 completed
2019-01-07 23:13:08,892, p3, s0, f140dccc-f73a-4f1a-b354-0c966897669d, S1 initiated
2019-01-07 23:13:08,892, p3, s1, f140dccc-f73a-4f1a-b354-0c966897669d, S1 completed
2019-01-07 23:13:08,892, p3, s0, 86b154b0-39b8-4714-a86c-d71d1698faf6, S1 initiated
2019-01-07 23:13:08,892, p3, s1, 86b154b0-39b8-4714-a86c-d71d1698faf6, S1 completed
2019-01-07 23:13:08,892, p3, s0, 86ca465d-bfe4-4cf9-bb35-408696d38af7, S1 initiated
2019-01-07 23:13:08,892, p3, s1, 86ca465d-bfe4-4cf9-bb35-408696d38af7, S1 completed
2019-01-07 23:13:08,892, p3, s0, d791d642-1a0e-42db-90d9-db4cb81f3b57, S1 initiated
2019-01-07 23:13:08,892, p3, s1, d791d642-1a0e-42db-90d9-db4cb81f3b57, S1 completed
2019-01-07 23:13:08,892, p3, s0, b1d34b52-123f-48a9-9125-e85991e9d294, S1 initiated
2019-01-07 23:13:08,892, p3, s1, b1d34b52-123f-48a9-9125-e85991e9d294, S1 completed
2019-01-07 23:13:08,892, p3, s0, 755f1f03-2cb8-4a3f-8e93-b1942fb5f6bf, S1 initiated
2019-01-07 23:13:08,892, p3, s1, 755f1f03-2cb8-4a3f-8e93-b1942fb5f6bf, S1 completed
2019-01-07 23:13:08,892, p3, s0, 6a290a2a-c622-41ea-9b14-01b67d1b48c0, S1 initiated
2019-01-07 23:13:08,892, p3, s1, 6a290a2a-c622-41ea-9b14-01b67d1b48c0, S1 completed
2019-01-07 23:13:08,893, p3, s0, 59dde545-9e74-4206-b143-c8486e4491fa, S1 initiated
2019-01-07 23:13:08,893, p3, s1, 59dde545-9e74-4206-b143-c8486e4491fa, S1 completed
2019-01-07 23:13:08,893, p3, s0, 378c77e8-3d8f-4787-83ef-f482b2e25b2c, S1 initiated
2019-01-07 23:13:08,893, p3, s1, 378c77e8-3d8f-4787-83ef-f482b2e25b2c, S1 completed
2019-01-07 23:13:08,893, p3, s0, 59d649bf-a6f7-4ada-a54d-c044fe8f3357, S1 initiated
2019-01-07 23:13:08,893, p3, s1, 59d649bf-a6f7-4ada-a54d-c044fe8f3357, S1 completed
2019-01-07 23:13:08,893, p3, s0, 7ff98eb2-3452-40a0-b895-0139b2f850b8, S1 initiated
2019-01-07 23:13:08,893, p3, s1, 7ff98eb2-3452-40a0-b895-0139b2f850b8, S1 completed
2019-01-07 23:13:08,893, p3, s0, c3c200de-d3f4-47d3-80b6-10eb44ce9239, S1 initiated
2019-01-07 23:13:08,893, p3, s1, c3c200de-d3f4-47d3-80b6-10eb44ce9239, S1 completed
2019-01-07 23:13:08,893, p3, s0, 79dc5d8d-f605-4e99-b22e-510a148d0b17, S1 initiated
2019-01-07 23:13:08,893, p3, s1, 79dc5d8d-f605-4e99-b22e-510a148d0b17, S1 completed
2019-01-07 23:13:08,893, p3, s0, 381f8f70-e0c2-46d2-a41e-726c3ab90e39, S1 initiated
2019-01-07 23:13:08,893, p3, s1, 381f8f70-e0c2-46d2-a41e-726c3ab90e39, S1 completed
