2019-01-08 00:55:21,150, p4, s0, fef7ac2f-439e-4187-a359-b3f188dbfa45, S1 initiated
2019-01-08 00:55:21,153, p4, s1, fef7ac2f-439e-4187-a359-b3f188dbfa45, S1 completed
2019-01-08 00:55:21,153, p4, s0, 088c3a04-5f0f-470c-adff-b7e5638dee41, S1 initiated
2019-01-08 00:55:21,153, p4, s1, 088c3a04-5f0f-470c-adff-b7e5638dee41, S1 completed
2019-01-08 00:55:21,153, p4, s0, e9290e38-93b7-457d-b76a-ad5674797212, S1 initiated
2019-01-08 00:55:21,153, p4, s1, e9290e38-93b7-457d-b76a-ad5674797212, S1 completed
2019-01-08 00:55:21,153, p4, s0, 759c4429-f117-46b1-98bf-91c5997c20c8, S1 initiated
2019-01-08 00:55:21,153, p4, s1, 759c4429-f117-46b1-98bf-91c5997c20c8, S1 completed
2019-01-08 00:55:21,153, p4, s0, 9e56416d-b59d-4e3f-9f7f-216e3bffc50a, S1 initiated
2019-01-08 00:55:21,153, p4, s1, 9e56416d-b59d-4e3f-9f7f-216e3bffc50a, S1 completed
2019-01-08 00:55:21,154, p4, s0, bd8959a8-217b-45b0-a847-d8c15007bff9, S1 initiated
2019-01-08 00:55:21,154, p4, s1, bd8959a8-217b-45b0-a847-d8c15007bff9, S1 completed
2019-01-08 00:55:21,154, p4, s0, 5e916a88-4746-4f00-874f-facae606cbbe, S1 initiated
2019-01-08 00:55:21,154, p4, s1, 5e916a88-4746-4f00-874f-facae606cbbe, S1 completed
2019-01-08 00:55:21,154, p4, s0, ad16aca1-a6ea-46cd-8efe-390f75789aad, S1 initiated
2019-01-08 00:55:21,154, p4, s1, ad16aca1-a6ea-46cd-8efe-390f75789aad, S1 completed
2019-01-08 00:55:21,154, p4, s0, c3a57b1c-b609-4d3b-b766-07c781c2eaac, S1 initiated
2019-01-08 00:55:21,154, p4, s1, c3a57b1c-b609-4d3b-b766-07c781c2eaac, S1 completed
